|arrests|tags|stems
377|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
378|REMAINING IN PARK AFTER HOURS|Trespass|remain park hour
379|CURFEW LAW VIOLATIONS|Curfew|curfew law violat
380|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
381|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
382|DUI DRUG|DUI|dui drug
383|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
384|NO DRIVER'S LICENSE|License|driver licens
385|CRIMINAL TRESPASS|Trespass|crimin trespass
386|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
387|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
388|ROBBERY, RESIDENTIAL, AGGRAVATED|Robbery|robberi residenti aggrav
389|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
390|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
391|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
392|NO PROOF OF INSURANCE|Insurance|proof insur
393|POSSESSION OF SUBTANCE|Narcotics / Other Drugs|possess subtanc
394|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
395|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
396|TRAFFIC LAWS APPLY TO BIKE RIDERS|Vehicle / Traffic Violation|traffic law appli bike rider
397|PETIT THEFT|Theft|petit theft
398|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
399|DUI|DUI|dui
400|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
401|OTHER WEAPONS VIOLATIONS|Weapons|weapon violat
402|ROBBERY FROM PERSON|Robbery|robberi person
403|SIMPLE ASSAULT|Assault|simpl assault
404|ARSON AGGRAVATED|Arson|arson aggrav
405|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
406|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
407|STOLEN PROPERTY BUYING|Theft|stolen properti buy
408|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
409|SALE OF SEXUAL RELATIONS|Procurement|sale sexual relat
410|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
411|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
412|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
413|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
414|HIT AND RUN INJURY ACCIDENT|Hit and Run|hit run injuri accid
415|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
416|CRIMINAL TRESPASS|Trespass|crimin trespass
417|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
418|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
419|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
420|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
421|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
422|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
423|CRIMINAL TRESPASS|Trespass|crimin trespass
424|CRIMINAL DAMAGE TO PROPERTY|Property Damage|crimin damag properti
425|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
426|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
427|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
428|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
429|TAIL LAMPS|Vehicle / Traffic Violation|tail lamp
430|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
431|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
432|BATTERY|Battery|batteri
433|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
434|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
435|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
436|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
437|STOLEN PROPERTY BUYING|Theft|stolen properti buy
438|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
439|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
440|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
441|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
442|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
443|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
444|NO PROOF OF INSURANCE|Insurance|proof insur
445|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
446|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
447|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
448|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
449|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
450|DUI|DUI|dui
451|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
452|ROBBERY, HIGHWAY, AGGRAVATED|Robbery|robberi highway aggrav
453|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
454|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
455|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
456|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
457|DEFECTIVE HEADLIGHT|Vehicle / Traffic Violation|defect headlight
458|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
459|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
460|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
461|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
462|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
463|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
464|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
465|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
466|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
467|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
468|DRIVING WHILE REVOKED|License|drive revok
469|BATTERY|Battery|batteri
470|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
471|AGGRAVATED ASSAULT|Assault|aggrav assault
472|BATTERY|Battery|batteri
473|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
474|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
475|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
476|BATTERY|Battery|batteri
477|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
478|VIOLATION OF PROTECTION FROM ABUSE|Court Order|violat protect abus
479|BATTERY|Battery|batteri
480|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
481|AGGRAVATED BATTERY,|Battery|aggrav batteri
482|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
483|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
484|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
485|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol|minor possess consum purchas obtain alcohol liquor beverag
486|SPEED OVER LIMIT|Speed Limit|speed limit
487|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
488|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
489|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
490|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
491|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
492|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
493|ILLEGAL USE OF SIGNAL DEVICE|Vehicle / Traffic Violation|illeg use signal devic
494|AGGRAVATED BATTERY,|Battery|aggrav batteri
495|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
496|LARCENY B PURSE SNATCH|Larceny|larceni b purs snatch
497|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
498|LICENSE REQUIRED SALE OF LIQUOR BY DRINK PROHIBITED|Alcohol|licens requir sale liquor drink prohibit
499|CRIMINAL TRESPASS|Trespass|crimin trespass
500|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
501|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
502|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
503|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
504|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
505|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
506|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
507|BATTERY BODILY HARM|Battery|batteri bodili harm
508|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
509|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
510|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
511|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
512|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
513|SPEED 30 MPH|Speed Limit|speed mph
514|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
515|FAILURE TO DRIVE WITHIN MARKED LANE|Vehicle / Traffic Violation|failur drive within mark lane
516|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
517|BATTERY BODILY HARM|Battery|batteri bodili harm
518|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
519|LARCENY B ALL OTHER|Larceny|larceni b
520|RUNAWAY|Runaway|runaway
521|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
522|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
523|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
524|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
525|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
526|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
527|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
528|CHECKS FORGED OR FICTITIOUS|Fraud|check forg fictiti
529|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
530|BATTERY|Battery|batteri
531|AGGRAVATED BATTERY|Battery|aggrav batteri
532|INTIMIDATION|Intimidation|intimid
533|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
534|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
535|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
536|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
537|THEFT OF PROPERTY/SERVICE|Theft|theft properti servic
538|UNLAWFUL SALE OF NON NARCOTICS|Narcotics / Other Drugs|unlaw sale non narcot
539|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
540|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
541|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
542|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
543|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery|batteri physic contact rude manner
544|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
545|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
546|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
547|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
548|SPEEDING IN A CONSTRUCTION AREA|Speed Limit|speed construct area
549|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
550|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
551|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
552|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
553|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
554|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
555|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
556|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
557|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
558|NO DRIVER'S LICENSE|License|driver licens
559|AGGRAVATED ASSAULT|Assault|aggrav assault
560|INTIMIDATION|Intimidation|intimid
561|PETIT THEFT|Theft|petit theft
562|CRIMINAL TRESPASS|Trespass|crimin trespass
563|CRIMINAL TRESPASS|Trespass|crimin trespass
564|CRIMINAL TRESPASS|Trespass|crimin trespass
565|CRIMINAL TRESPASS|Trespass|crimin trespass
566|CRIMINAL TRESPASS|Trespass|crimin trespass
567|CRIMINAL TRESPASS|Trespass|crimin trespass
568|CRIMINAL TRESPASS|Trespass|crimin trespass
569|CRIMINAL TRESPASS|Trespass|crimin trespass
570|CRIMINAL TRESPASS|Trespass|crimin trespass
571|CRIMINAL TRESPASS|Trespass|crimin trespass
572|CRIMINAL TRESPASS|Trespass|crimin trespass
573|CRIMINAL TRESPASS|Trespass|crimin trespass
574|CRIMINAL TRESPASS|Trespass|crimin trespass
575|CRIMINAL TRESPASS|Trespass|crimin trespass
576|CRIMINAL TRESPASS|Trespass|crimin trespass
577|CRIMINAL TRESPASS|Trespass|crimin trespass
578|CRIMINAL TRESPASS|Trespass|crimin trespass
579|CRIMINAL TRESPASS|Trespass|crimin trespass
580|CRIMINAL TRESPASS|Trespass|crimin trespass
581|CRIMINAL TRESPASS|Trespass|crimin trespass
582|CRIMINAL TRESPASS|Trespass|crimin trespass
583|CRIMINAL TRESPASS|Trespass|crimin trespass
584|CRIMINAL TRESPASS|Trespass|crimin trespass
585|CRIMINAL TRESPASS|Trespass|crimin trespass
586|CRIMINAL TRESPASS|Trespass|crimin trespass
587|CRIMINAL TRESPASS|Trespass|crimin trespass
588|CRIMINAL TRESPASS|Trespass|crimin trespass
589|CRIMINAL TRESPASS|Trespass|crimin trespass
590|CRIMINAL TRESPASS|Trespass|crimin trespass
591|CRIMINAL TRESPASS|Trespass|crimin trespass
592|AGGRAVATED BATTERY OF LAW ENFORCEMENT OFFICER|Battery|aggrav batteri law enforc offic
593|AGGRAVATED BATTERY,|Battery|aggrav batteri
594|INTIMIDATION|Intimidation|intimid
595|BATTERY|Battery|batteri
596|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
597|CRIMINAL TRESPASS|Trespass|crimin trespass
598|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
599|INTIMIDATION|Intimidation|intimid
600|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
601|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
602|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
603|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
604|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
605|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
606|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
607|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
608|DUI|DUI|dui
609|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
610|DRIVE WRONG WAY/ONE WAY|Vehicle / Traffic Violation|drive wrong way one way
611|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
612|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
613|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
614|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
615|FAILURE TO STOP FROM ALLEY, BUILDING, PRIVATE ROAD OR DRIVEWAY|Vehicle / Traffic Violation|failur stop alley build privat road driveway
616|BATTERY|Battery|batteri
617|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
618|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
619|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
620|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
621|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
622|VIOLATION OF PROTECTION FROM ABUSE|Court Order|violat protect abus
623|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
624|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
625|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
626|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
627|WRONG WAY ON ONE WAY STREET|Vehicle / Traffic Violation|wrong way one way street
628|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
629|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
630|BATTERY BODILY HARM|Battery|batteri bodili harm
631|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
632|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
633|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
634|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
635|MURDER/NEGLIGENT MANSLAUGHTER|Manslaughter|murder neglig manslaught
636|CRIMINAL TRESPASS|Trespass|crimin trespass
637|INTIMIDATION|Intimidation|intimid
638|BATTERY BODILY HARM|Battery|batteri bodili harm
639|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
640|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
641|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
642|PETIT THEFT|Theft|petit theft
643|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
644|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
645|BATTERY BODILY HARM|Battery|batteri bodili harm
646|AGGRAVATED ASSAULT|Assault|aggrav assault
647|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
648|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
649|CRIMINAL TRESPASS|Trespass|crimin trespass
650|INTIMIDATION|Intimidation|intimid
651|DISORDERLY CONDUCT ALL TYPES|Disturbance|disorderli conduct type
652|ASSAULT|Assault|assault
653|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
654|INTIMIDATION|Intimidation|intimid
655|AGGRAVATED BATTERY,|Battery|aggrav batteri
656|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
657|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
658|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
659|NO PROOF OF INSURANCE|Insurance|proof insur
660|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
661|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
662|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
663|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
664|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
665|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
666|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics / Other Drugs|unlaw possess non narcot
667|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
668|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
669|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
670|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
671|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
672|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Vehicle / Traffic Violation|emerg alley driveway build
673|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
674|AGGRAVATED FALSE IMPERSONATION|Fraud|aggrav fals imperson
675|DISTURBING THE PEACE|Disturbance|disturb peac
676|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
677|MURDER/NEGLIGENT MANSLAUGHTER|Manslaughter|murder neglig manslaught
678|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
679|CRIMINAL TRESPASS|Trespass|crimin trespass
680|CRIMINAL TRESPASS|Trespass|crimin trespass
681|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance|disorderli conduct offens languag
682|AGGRAVATED BATTERY,|Battery|aggrav batteri
683|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
684|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
685|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
686|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
687|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
688|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
689|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
690|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
691|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
692|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
693|PETIT THEFT|Theft|petit theft
694|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
695|BATTERY|Battery|batteri
696|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
